,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
0,208500,95,1,2.18,11.86,0.6,2.18,10.0
1,208600,95,1,2.83,12.19,0.6,2.83,9.84
2,208700,95,1,2.5,10.34,0.6,2.5,8.69
3,208800,95,1,2.43,10.74,0.6,2.43,9.27
4,208900,95,1,2.11,10.94,0.6,2.11,9.4
5,209000,95,1,2.91,13.16,0.6,2.91,9.79
6,209100,95,1,2.66,12.49,0.6,2.66,9.83
7,209200,95,1,2.1,11.83,0.6,2.1,9.57
8,209300,95,1,2.56,11.8,0.6,2.56,9.59
9,209400,95,1,2.39,11.49,0.6,2.39,9.11
10,209500,95,1,2.12,12.23,0.6,2.12,9.29
11,209600,95,1,2.81,11.84,0.6,2.81,9.53
12,209700,95,1,2.29,11.97,0.6,2.29,9.13
13,209800,95,1,2.51,12.07,0.6,2.51,9.08
14,209900,95,1,2.58,12.31,0.6,2.58,9.47
15,210000,95,1,2.23,11.74,0.6,2.23,8.81
16,210100,95,1,2.37,10.87,0.6,2.37,9.22
17,210200,95,1,2.87,13.3,0.6,2.87,9.45
18,210300,95,1,2.27,13.23,0.6,2.27,9.37
19,210400,95,1,2.54,12.37,0.6,2.54,9.18
20,210500,95,1,2.38,11.07,0.6,2.38,8.41
21,210600,95,1,2.27,11.12,0.6,2.27,9.15
22,210700,95,1,2.8,12.1,0.6,2.8,9.17
23,210800,95,1,2.56,12.89,0.6,2.56,9.39
24,210900,95,1,2.41,12.74,0.6,2.41,9.04
25,211000,95,1,2.33,13.53,0.6,2.33,9.56
26,211100,95,1,2.77,12.44,0.6,2.77,10.25
27,211200,95,1,2.63,12.14,0.6,2.63,9.24
28,211300,95,1,2.53,11.39,0.6,2.53,9.59
29,211400,95,1,2.41,11.65,0.6,2.41,9.71
30,211500,95,1,2.29,11.1,0.6,2.29,9.56
31,211600,95,1,2.47,11.11,0.6,2.47,9.47
32,211700,95,1,2.22,11.13,0.6,2.22,9.58
33,211800,95,1,2.29,11.44,0.6,2.29,9.41
34,211900,95,1,2.33,11.78,0.6,2.33,9.11
35,212000,95,1,2.67,10.76,0.6,2.67,9.15
36,212100,95,1,2.48,10.76,0.6,2.48,9.06
37,212200,95,1,2.07,10.87,0.6,2.07,9.17
38,212300,95,1,2.53,10.84,0.6,2.53,9.31
39,212400,95,1,2.57,10.41,0.6,2.57,8.68
40,212500,95,1,2.56,10.67,0.6,2.56,9.14
41,212600,95,1,2.15,10.63,0.6,2.15,8.41
42,212700,95,1,2.46,11.26,0.6,2.46,9.74
43,212800,95,1,2.3,10.99,0.6,2.3,9.32
44,212900,95,1,2.91,12.1,0.6,2.91,9.8
45,213000,95,1,2.47,11.17,0.6,2.47,9.59
46,213100,95,1,2.76,11.39,0.6,2.76,9.92
47,213200,95,1,2.16,11.1,0.6,2.16,9.62
48,213300,95,1,2.75,11.66,0.6,2.75,9.84
49,213400,95,1,2.83,11.34,0.6,2.83,9.91
50,213500,95,1,2.18,10.39,0.6,2.18,8.84
51,213600,95,1,2.22,10.85,0.6,2.22,9.28
52,213700,95,1,2.64,10.58,0.6,2.64,8.92
53,213800,95,1,2.33,11.12,0.6,2.33,9.57
54,213900,95,1,2.49,11.4,0.6,2.49,9.35
55,214000,95,1,1.98,9.63,0.6,1.98,7.81
56,214100,95,1,2.35,10.23,0.6,2.35,8.53
57,214200,95,1,2.23,10.1,0.6,2.23,8.35
58,214300,95,1,3.06,11.53,0.6,3.06,9.95
59,214400,95,1,2.25,11.31,0.6,2.25,8.69
60,214500,95,1,2.75,11.35,0.6,2.75,9.73
61,214600,95,1,3.08,11.28,0.6,3.08,9.72
62,214700,95,1,2.44,11.03,0.6,2.44,9.47
63,214800,95,1,2.43,10.83,0.6,2.43,9.19
64,214900,95,1,2.62,11.21,0.6,2.62,9.16
65,215000,95,1,2.37,12.19,0.6,2.37,9.81
66,215100,95,1,2.56,12.58,0.6,2.56,10.37
67,215200,95,1,2.25,11.13,0.6,2.25,9.59
68,215300,95,1,2.87,13.16,0.6,2.87,9.77
69,215400,95,1,2.1,11.96,0.6,2.1,9.59
70,215500,95,1,2.4,11.95,0.6,2.4,9.98
71,215600,95,1,2.69,12.46,0.6,2.69,9.93
72,215700,95,1,2.54,12.33,0.6,2.54,9.97
73,215800,95,1,2.68,12.35,0.6,2.68,9.79
74,215900,95,1,2.27,12.32,0.6,2.27,9.68
75,216000,95,1,2.23,12.15,0.6,2.23,9.46
76,216100,95,1,2.21,13.32,0.6,2.21,9.52
77,216200,95,1,3.32,10.79,0.6,3.32,9.48
78,216300,95,1,2.63,12.29,0.6,2.63,9.79
79,216400,95,1,2.19,11.23,0.6,2.19,9.76
80,216500,95,1,2.83,14.41,0.6,2.83,9.47
81,216600,95,1,2.54,12.95,0.6,2.54,9.45
82,216700,95,1,2.17,12.31,0.6,2.17,9.53
83,216800,95,1,2.62,12.64,0.6,2.62,10.06
84,216900,95,1,2.24,12.13,0.6,2.24,9.41
85,217000,95,1,1.98,13.03,0.6,1.98,9.53
86,217100,95,1,2.25,12.07,0.6,2.25,9.42
87,217200,95,1,2.19,12.36,0.6,2.19,9.78
88,217300,95,1,2.47,12.4,0.6,2.47,9.75
89,217400,95,1,2.51,12.17,0.6,2.51,9.54
90,217500,95,1,2.67,11.05,0.6,2.67,9.49
91,217600,95,1,2.78,10.83,0.6,2.78,9.67
92,217700,95,1,2.04,11.01,0.6,2.04,9.75
93,217800,95,1,2.1,10.62,0.6,2.1,9.25
94,217900,95,1,2.81,12.26,0.6,2.81,8.96
95,218000,95,1,2.31,12.77,0.6,2.31,9.1
96,218100,95,1,2.43,11.39,0.6,2.43,9.21
97,218200,95,1,2.53,13.76,0.6,2.53,10.26
98,218300,95,1,2.21,13.62,0.6,2.21,10.04
